"","diff","lwr","upr","padj","sign"
"S9-S3",-1.38849017130011,-7.43952488424581,4.66254454164558,0.999999999595832,""
"S10-S3",-5.41248332299433,-11.46351803594,0.638551389951366,0.168208810426735,""
"S11-S3",-3.7569425784481,-9.8079772913938,2.29409213449759,0.884707661887696,""
"S12-S3",-4.59627511433487,-10.6473098272806,1.45475959861083,0.508139149868359,""
"S13-S3",-4.14828748066654,-10.1993221936122,1.90274723227915,0.733923471349561,""
"S14-S3",-4.89146705266877,-10.9425017656145,1.15956766027692,0.362863302236866,""
"S15-S3",-5.45635582903855,-11.5073905419842,0.594678883907146,0.156166570497978,""
"S16-S3",-3.29761102659737,-9.34864573954306,2.75342368634833,0.973610350539354,""
"S17-S3",-4.45837499770693,-10.5094097106526,1.59265971523876,0.57960776007173,""
"S18-S3",-3.53965919623803,-9.59069390918373,2.51137551670766,0.938055383113293,""
"S19-S3",-4.91356844539969,-10.9646031583454,1.13746626754601,0.352780484792815,""
"S20-S3",-4.66459499864365,-10.7156297115893,1.38643971430205,0.473170886114925,""
"S21-S3",-4.95121835086836,-11.0022530638141,1.09981636207733,0.335931175211426,""
"S22-S3",-5.45635582903846,-11.5073905419842,0.594678883907233,0.156166570498001,""
"S23-S3",-5.45635582903845,-11.5073905419841,0.594678883907249,0.156166570498005,""
"S24-S3",-5.11585437701061,-11.1668890899563,0.935180335935089,0.267540735211287,""
"S25-S3",-5.33266165839747,-11.3836963713432,0.718373054548221,0.191846439819797,""
"S26-S3",-5.39354298221339,-11.4445776951591,0.6574917307323,0.173614318454586,""
"S27-S3",-5.45635582903845,-11.5073905419841,0.594678883907242,0.156166570498002,""
"S28-S3",-5.11811687350315,-11.1691515864488,0.932917839442548,0.266664490760343,""
"S29-S3",-5.45635582903844,-11.5073905419841,0.594678883907251,0.156166570498005,""
"S30-S3",-4.87047202145457,-10.9215067344003,1.18056269149112,0.372567405959728,""
"unk-S3",-5.45635582903845,-11.5073905419841,0.594678883907245,0.156166570498004,""
"S5-S4",5.1775674952663,-0.873467217679395,11.228602208212,0.244284841492035,""
"S6-S4",0.118426618987067,-5.93260809395863,6.16946133193276,1,""
"S7-S4",52.0664990984929,46.0154643855472,58.1175338114386,0,"*"
"S8-S4",7.20080993892512,1.14977522597943,13.2518446518708,0.00303717356511124,"*"
"S9-S4",3.80438316455592,-2.24665154838978,9.85541787750161,0.870074071749758,""
"S10-S4",-0.2196099871383,-6.27064470008399,5.83142472580739,1,""
"S11-S4",1.43593075740792,-4.61510395553777,7.48696547035362,0.999999999031379,""
"S12-S4",0.596598221521163,-5.45443649142453,6.64763293446686,1,""
"S13-S4",1.04458585518949,-5.00644885775621,7.09562056813518,1,""
"S14-S4",0.301406283187258,-5.74962842975844,6.35244099613295,1,""
"S15-S4",-0.26348249318252,-6.31451720612821,5.78755221976317,1,""
"S16-S4",1.89526230925866,-4.15577240368703,7.94629702220436,0.99999910288162,""
"S17-S4",0.734498338149097,-5.3165363747966,6.78553305109479,1,""
"S18-S4",1.653214139618,-4.3978205733277,7.70424885256369,0.999999965811823,""
"S19-S4",0.27930489045634,-5.77172982248935,6.33033960340203,1,""
"S20-S4",0.528278337212382,-5.52275637573331,6.57931305015808,1,""
"S21-S4",0.241654984987664,-5.80937972795803,6.29268969793336,1,""
"S22-S4",-0.263482493182434,-6.31451720612813,5.78755221976326,1,""
"S23-S4",-0.263482493182417,-6.31451720612811,5.78755221976328,1,""
"S24-S4",0.0770189588454224,-5.97401575410027,6.12805367179112,1,""
"S25-S4",-0.139788322541445,-6.19082303548714,5.91124639040425,1,""
"S26-S4",-0.200669646357366,-6.25170435930306,5.85036506658833,1,""
"S27-S4",-0.263482493182424,-6.31451720612812,5.78755221976327,1,""
"S28-S4",0.0747564623528816,-5.97627825059281,6.12579117529858,1,""
"S29-S4",-0.263482493182415,-6.31451720612811,5.78755221976328,1,""
"S30-S4",0.322401314401457,-5.72863339854424,6.37343602734715,1,""
"unk-S4",-0.263482493182421,-6.31451720612811,5.78755221976327,1,""
"S6-S5",-5.05914087627923,-11.1101755892249,0.991893836666462,0.290082822322371,""
"S7-S5",46.8889316032266,40.8378968902809,52.9399663161723,0,"*"
"S8-S5",2.02324244365882,-4.02779226928687,8.07427715660452,0.999996045036289,""
"S9-S5",-1.37318433071038,-7.42421904365608,4.67785038223531,0.999999999697633,""
"S10-S5",-5.3971774824046,-11.4482121953503,0.653857230541095,0.172567304264241,""
"S11-S5",-3.74163673785838,-9.79267145080407,2.30939797508732,0.889198187944694,""
"S12-S5",-4.58096927374514,-10.6320039866908,1.47006543920056,0.516035271751401,""
"S13-S5",-4.13298164007681,-10.1840163530225,1.91805307286888,0.740965145695779,""
"S14-S5",-4.87616121207904,-10.9271959250247,1.17487350086665,0.369925937275317,""
"S15-S5",-5.44104998844882,-11.4920847013945,0.609984724496875,0.160292283570196,""
"S16-S5",-3.28230518600764,-9.33333989895333,2.76872952693806,0.975155251560747,""
"S17-S5",-4.4430691571172,-10.4941038700629,1.60796555582849,0.587537779944561,""
"S18-S5",-3.5243533556483,-9.575388068594,2.52668135729739,0.940996853115207,""
"S19-S5",-4.89826260480996,-10.9492973177557,1.15277210813573,0.359748410957852,""
"S20-S5",-4.64928915805392,-10.7003238709996,1.40174555489178,0.480958063649206,""
