"","sig1","sig2","pval","padj","sign"
"40","S2","S12",0.264158889667375,0.433442949903476,""
"41","S2","S13",0.754450401683133,0.800713869710873,""
"42","S2","S14",0.0596451189560783,0.220002487952748,""
"43","S2","S15",0.19282995936121,0.363026636308307,""
"44","S2","S16",0.0596451189560783,0.220002487952748,""
"45","S2","S17",0.806879004412242,0.844408260431416,""
"46","S2","S18",0.353975937788973,0.457727505761603,""
"47","S2","S19",0.175737197994178,0.345335105228733,""
"48","S2","S20",0.623466094463869,0.696178021113502,""
"49","S2","S21",0.438774491240729,0.535090842976498,""
"50","S2","S22",0.164080947813926,0.336366000954715,""
"51","S2","S23",0.0344425285100185,0.142193925041361,""
"52","S2","S24",0.494983440442567,0.587711208968747,""
"53","S2","S25",0.0988653257804854,0.25198440607542,""
"54","S2","S26",0.0596451189560783,0.220002487952748,""
"55","S2","S27",0.174391246722311,0.344193250109824,""
"56","S2","S28",0.961758613750998,0.966052178990958,""
"57","S2","S29",0.0892717197417635,0.242923961407868,""
"58","S2","S30",0.894441385292858,0.91063036964205,""
"59","S2","unknown",0.0596451189560784,0.220002487952748,""
"60","S3","S4",0.592877827255164,0.677144726560467,""
"61","S3","S5",0.0569047295736124,0.220002487952748,""
"62","S3","S6",0.057923521341104,0.220002487952748,""
"63","S3","S7",4.51358263934513e-11,7.52263773224189e-10,"*"
"64","S3","S8",0.0145006622090084,0.0709271521092805,""
"65","S3","S9",0.0145006622090084,0.0709271521092805,""
"66","S3","S10",0.0145006622090084,0.0709271521092805,""
"67","S3","S11",0.292129370366333,0.433442949903476,""
"68","S3","S12",0.0329944207001768,0.137476752917403,""
"69","S3","S13",0.345318977773155,0.451725406970697,""
"70","S3","S14",0.0145006622090084,0.0709271521092805,""
"71","S3","S15",0.630825236623006,0.702651872476121,""
"72","S3","S16",0.0145006622090084,0.0709271521092805,""
"73","S3","S17",0.0932802693154293,0.242923961407868,""
"74","S3","S18",0.0405996275491234,0.164593084658608,""
"75","S3","S19",0.586257778315347,0.671287532422152,""
"76","S3","S20",0.517564394886479,0.606520775257593,""
"77","S3","S21",0.874123300922131,0.896618932815901,""
"78","S3","S22",0.0243107179228796,0.10678776847555,""
"79","S3","S23",0.284818738830659,0.433442949903476,""
"80","S3","S24",0.0535281670327138,0.213165266944436,""
"81","S3","S25",0.0186811672912392,0.0866652090830684,""
"82","S3","S26",0.0145006622090084,0.0709271521092805,""
"83","S3","S27",0.025154830993823,0.108843018723273,""
"84","S3","S28",0.208932073036189,0.386911246363314,""
"85","S3","S29",0.0178426717614493,0.0845179188700231,""
"86","S3","S30",0.144980378186805,0.309199858692238,""
"87","S3","unknown",0.0145006622090085,0.0709271521092805,""
"88","S4","S5",0.251172268093898,0.424915491136294,""
"89","S4","S6",0.26930206798667,0.433442949903476,""
"90","S4","S7",3.59004961993797e-11,6.42326235600177e-10,"*"
"91","S4","S8",0.103033623817505,0.25198440607542,""
"92","S4","S9",0.103033623817505,0.25198440607542,""
"93","S4","S10",0.103033623817505,0.25198440607542,""
"94","S4","S11",0.134731591928594,0.296482855086718,""
"95","S4","S12",0.184518124838174,0.359450892541898,""
"96","S4","S13",0.702209593249948,0.757780136600664,""
"97","S4","S14",0.103033623817505,0.25198440607542,""
"98","S4","S15",0.41988318349844,0.521954233630657,""
"99","S4","S16",0.103033623817505,0.25198440607542,""
"100","S4","S17",0.358396509744911,0.462115843510631,""
"101","S4","S18",0.213099402750278,0.391407066276021,""
"102","S4","S19",0.387373170776858,0.489019379947232,""
"103","S4","S20",0.876519624990349,0.896618932815901,""
"104","S4","S21",0.817119360921925,0.852937982812867,""
"105","S4","S22",0.148432293130893,0.315068546740104,""
"106","S4","S23",0.151573715688864,0.317792771375827,""
"107","S4","S24",0.254329686605057,0.427099086120397,""
"108","S4","S25",0.123913181844409,0.291093883632078,""
"109","S4","S26",0.103033623817505,0.25198440607542,""
"110","S4","S27",0.151834324101784,0.317792771375827,""
"111","S4","S28",0.525335912037741,0.612438239422236,""
"112","S4","S29",0.120129579422899,0.287498641391245,""
"113","S4","S30",0.428265783889847,0.528247930078183,""
"114","S4","unknown",0.103033623817505,0.25198440607542,""
"115","S5","S6",0.842160458346133,0.869202307926054,""
"116","S5","S7",3.073957461191e-11,6.42326235600177e-10,"*"
"117","S5","S8",0.326527022260616,0.433442949903476,""
"118","S5","S9",0.326527022260616,0.433442949903476,""
"119","S5","S10",0.326527022260616,0.433442949903476,""
"120","S5","S11",0.00541050779600686,0.0351803546233211,"*"
"121","S5","S12",0.79881096427924,0.837913598894308,""
"122","S5","S13",0.4838977306335,0.5806772767602,""
"123","S5","S14",0.326527022260616,0.433442949903476,""
"124","S5","S15",0.134307785010202,0.296482855086718,""
"125","S5","S16",0.326527022260616,0.433442949903476,""
"126","S5","S17",0.645398790641753,0.71183690144311,""
"127","S5","S18",0.940255969148751,0.948688758109726,""
"128","S5","S19",0.122339992502417,0.289752613821514,""
"129","S5","S20",0.416455692791389,0.519127594892313,""
"130","S5","S21",0.310516143991474,0.433442949903476,""
"131","S5","S22",0.599470184850996,0.677792922570221,""
"132","S5","S23",0.0193646034321005,0.0880209246913657,""
"133","S5","S24",0.905245268754647,0.917478312927007,""
"134","S5","S25",0.453439560642564,0.547045046351618,""
"135","S5","S26",0.326527022260616,0.433442949903476,""
"136","S5","S27",0.618396055520677,0.692234390508221,""
"137","S5","S28",0.61716769474523,0.692234390508221,""
"138","S5","S29",0.429317141601887,0.528247930078183,""
"139","S5","S30",0.706888628007817,0.761004503836166,""
"140","S5","unknown",0.326527022260616,0.433442949903476,""
"141","S6","S7",3.23522489536906e-11,6.42326235600177e-10,"*"
"142","S6","S8",0.0643785037028105,0.222848666663576,""
"143","S6","S9",0.0643785037028105,0.222848666663576,""
"144","S6","S10",0.0643785037028105,0.222848666663576,""
"145","S6","S11",0.00542646525658035,0.0351803546233211,"*"
"146","S6","S12",0.513805794086188,0.603688269814059,""
"147","S6","S13",0.525215984145851,0.612438239422236,""
"148","S6","S14",0.0643785037028105,0.222848666663576,""
"149","S6","S15",0.142461310674459,0.306734879442616,""
"150","S6","S16",0.0643785037028105,0.222848666663576,""
"151","S6","S17",0.728723516760102,0.778920623615311,""
"152","S6","S18",0.694754418195813,0.751537231221432,""
"153","S6","S19",0.129722934233345,0.296482855086718,""
"154","S6","S20",0.448238877020169,0.543685969431472,""
"155","S6","S21",0.330703064050467,0.437695231831501,""
"156","S6","S22",0.295432795641445,0.433442949903476,""
"157","S6","S23",0.0204208488409073,0.091893819784083,""
"158","S6","S24",0.918310060976635,0.928628151549407,""
"159","S6","S25",0.14364552321706,0.307811835465128,""
"160","S6","S26",0.0643785037028105,0.222848666663576,""
"161","S6","S27",0.31874860395877,0.433442949903476,""
