"","diff","lwr","upr","padj","sign"
"S28-S8",-5.17377854549938,-9.1037817225158,-1.24377536848296,0.000318152067779964,"*"
"S29-S8",-5.38710437065321,-9.31710754766963,-1.45710119363679,0.000112134412141307,"*"
"S30-S8",-4.92429418297184,-8.85429735998826,-0.994291005955418,0.00101446587922016,"*"
"unk-S8",-5.38710437065319,-9.31710754766961,-1.45710119363677,0.000112134412140863,"*"
"S10-S9",-4.07397111466243,-8.00397429167885,-0.143967937646005,0.0307980777819453,"*"
"S11-S9",-2.77061910944656,-6.70062228646298,1.15938406756986,0.679969602163897,""
"S12-S9",-3.0904534592863,-7.02045663630272,0.83954971773012,0.428142069100593,""
"S13-S9",-3.07834351379066,-7.00834669080708,0.851659663225766,0.437380447587389,""
"S14-S9",-3.81450657214237,-7.74450974915879,0.115496604874048,0.072134567099533,""
"S15-S9",-4.09004482688102,-8.02004800389744,-0.1600416498646,0.0291224824695758,"*"
"S16-S9",-1.77457883744934,-5.70458201446576,2.15542433956708,0.998510888081315,""
"S17-S9",-3.55760219247705,-7.48760536949347,0.37240098453937,0.151050537397684,""
"S18-S9",-2.87605453330007,-6.80605771031649,1.05394864371635,0.597553713771387,""
"S19-S9",-3.7291538276502,-7.65915700466662,0.200849349366222,0.0933228685256309,""
"S20-S9",-3.66318155558509,-7.59318473260151,0.266821621431335,0.112964309963486,""
"S21-S9",-3.68443566623618,-7.61443884325261,0.245567510780238,0.106305399587687,""
"S22-S9",-4.11291602429991,-8.04291920131633,-0.182912847283492,0.0268774750719456,"*"
"S23-S9",-4.1129160242999,-8.04291920131632,-0.182912847283478,0.0268774750719474,"*"
"S24-S9",-3.94920352791855,-7.87920670493497,-0.0192003509021323,0.0469528255118589,"*"
"S25-S9",-3.67500849386321,-7.60501167087963,0.254994683153213,0.109219138752292,""
"S26-S9",-4.08292870228122,-8.01293187929764,-0.152925525264799,0.029854083991143,"*"
"S27-S9",-4.11291602429994,-8.04291920131636,-0.18291284728352,0.0268774750719418,"*"
"S28-S9",-3.89959019914616,-7.82959337616258,0.0304129778702582,0.0551743493790525,""
"S29-S9",-4.1129160243,-8.04291920131642,-0.182912847283574,0.0268774750719387,"*"
"S30-S9",-3.65010583661862,-7.58010901363505,0.279897340397796,0.117222853602489,""
"unk-S9",-4.11291602429998,-8.0429192013164,-0.182912847283558,0.0268774750719378,"*"
"S11-S10",1.30335200521586,-2.62665117180056,5.23335518223228,0.999996905597397,""
"S12-S10",0.983517655376125,-2.9464855216403,4.91352083239255,0.999999996495729,""
"S13-S10",0.995627600871771,-2.93437557614465,4.92563077788819,0.999999995215399,""
"S14-S10",0.259464542520053,-3.67053863449637,4.18946771953647,1,""
"S15-S10",-0.0160737122185943,-3.94607688923502,3.91392946479783,1,""
"S16-S10",2.29939227721308,-1.63061089980334,6.2293954542295,0.939073286822948,""
"S17-S10",0.516368922185376,-3.41363425483105,4.4463720992018,1,""
"S18-S10",1.19791658136235,-2.73208659565407,5.12791975837878,0.999999555142463,""
"S19-S10",0.344817287012228,-3.58518589000419,4.27482046402865,1,""
"S20-S10",0.41078955907734,-3.51921361793908,4.34079273609376,1,""
"S21-S10",0.389535448426243,-3.54046772859018,4.31953862544266,1,""
"S22-S10",-0.0389449096374865,-3.96894808665391,3.89105826737893,1,""
"S23-S10",-0.0389449096374732,-3.96894808665389,3.89105826737895,1,""
"S24-S10",0.124767586743873,-3.80523559027255,4.05477076376029,1,""
"S25-S10",0.398962620799218,-3.5310405562172,4.32896579781564,1,""
"S26-S10",-0.00895758761879328,-3.93896076463521,3.92104558939763,1,""
"S27-S10",-0.0389449096375145,-3.96894808665394,3.89105826737891,1,""
"S28-S10",0.174380915516263,-3.75562226150016,4.10438409253269,1,""
"S29-S10",-0.0389449096375691,-3.96894808665399,3.89105826737885,1,""
"S30-S10",0.423865278043801,-3.50613789897262,4.35386845506022,1,""
"unk-S10",-0.0389449096375531,-3.96894808665397,3.89105826737887,1,""
