"","sig1","sig2","pval","padj","sign"
"148","S6","S14",0.0893656978353253,0.247351485079918,""
"149","S6","S15",0.136386025401922,0.31551990951191,""
"150","S6","S16",0.264669943268234,0.457514957694159,""
"151","S6","S17",0.306836286073855,0.488626277480626,""
"152","S6","S18",0.0904698367554427,0.247461612301652,""
"153","S6","S19",0.851125127034182,0.907736660713061,""
"154","S6","S20",0.0839023262878959,0.240830751381923,""
"155","S6","S21",0.793289614162899,0.877009354250715,""
"156","S6","S22",0.220447200671418,0.415011936486678,""
"157","S6","S23",0.578406817340093,0.709654802277423,""
"158","S6","S24",0.132649462308543,0.313106598850115,""
"159","S6","S25",0.185680332665313,0.375397194301611,""
"160","S6","S26",0.189247871150081,0.3776835196772,""
"161","S6","S27",0.0781593871450825,0.230026044445971,""
"162","S6","S28",0.127226873796466,0.304951011934827,""
"163","S6","S29",0.102301043046205,0.273390718485547,""
"164","S6","S30",0.257041575621147,0.447656676643571,""
"165","S6","unknown",0.0751760734800985,0.22847630175324,""
"166","S7","S8",3.44236705442331e-25,6.09897765497523e-24,"*"
"167","S7","S9",3.51137712371843e-25,6.09897765497523e-24,"*"
"168","S7","S10",2.8673230469791e-25,6.09897765497523e-24,"*"
"169","S7","S11",3.35973321112478e-25,6.09897765497523e-24,"*"
"170","S7","S12",3.1017918772655e-25,6.09897765497523e-24,"*"
"171","S7","S13",3.36266624797517e-25,6.09897765497523e-24,"*"
"172","S7","S14",3.42619626955137e-25,6.09897765497523e-24,"*"
"173","S7","S15",3.54624805901655e-25,6.09897765497523e-24,"*"
"174","S7","S16",2.49682952823139e-25,6.09897765497523e-24,"*"
"175","S7","S17",1.9704607722561e-25,6.09897765497523e-24,"*"
"176","S7","S18",3.44575065670244e-25,6.09897765497523e-24,"*"
"177","S7","S19",1.80165085266438e-25,6.09897765497523e-24,"*"
"178","S7","S20",3.43248869090237e-25,6.09897765497523e-24,"*"
"179","S7","S21",1.55412866328472e-25,6.09897765497523e-24,"*"
"180","S7","S22",2.61251635080422e-25,6.09897765497523e-24,"*"
"181","S7","S23",3.78984461956817e-25,6.09897765497523e-24,"*"
"182","S7","S24",3.40464353286232e-25,6.09897765497523e-24,"*"
"183","S7","S25",3.80366348374799e-25,6.09897765497523e-24,"*"
"184","S7","S26",3.57672497386082e-25,6.09897765497523e-24,"*"
"185","S7","S27",3.381979433349e-25,6.09897765497523e-24,"*"
"186","S7","S28",3.48506010096321e-25,6.09897765497523e-24,"*"
"187","S7","S29",3.49896359055127e-25,6.09897765497523e-24,"*"
"188","S7","S30",2.51038301808293e-25,6.09897765497523e-24,"*"
"189","S7","unknown",3.35523633684596e-25,6.09897765497523e-24,"*"
"190","S8","S9",0.684345891660312,0.791249922324746,""
"191","S8","S10",0.553157809461489,0.69547566294439,""
"192","S8","S11",2.93899938588418e-05,0.000333325540106376,"*"
"193","S8","S12",0.659805196826749,0.778704102853904,""
"194","S8","S13",0.821240573980964,0.887237020893437,""
"195","S8","S14",0.34736979358346,0.516060555962649,""
"196","S8","S15",0.984802729907472,0.991197552828949,""
"197","S8","S16",0.573744978427712,0.707669535726488,""
"198","S8","S17",0.568289315554713,0.704106850732283,""
"199","S8","S18",0.358987343670496,0.529933697799304,""
"200","S8","S19",0.0391648529767312,0.132931800249489,""
"201","S8","S20",0.261566483994614,0.453837369617521,""
"202","S8","S21",0.13981143736702,0.320257725988494,""
"203","S8","S22",0.695996665986865,0.799107283170104,""
"204","S8","S23",0.00240109059905908,0.0121359470495921,"*"
"205","S8","S24",0.92244164690651,0.954402112517436,""
"206","S8","S25",0.548872594223006,0.69354825085244,""
"207","S8","S26",0.605086250407972,0.736557870261013,""
"208","S8","S27",0.196385892498145,0.383695126099317,""
"209","S8","S28",0.873685785008507,0.923327022793081,""
"210","S8","S29",0.533914555563499,0.683940133159853,""
"211","S8","S30",0.593185775971366,0.725872067964961,""
"212","S8","unknown",0.166128299139611,0.351134814090541,""
"213","S9","S10",0.387376772247664,0.545849088167163,""
"214","S9","S11",2.00045322167344e-05,0.000251408310291391,"*"
"215","S9","S12",0.452053904046443,0.611061236574407,""
"216","S9","S13",0.545815935739244,0.691565150187325,""
"217","S9","S14",0.473956184179065,0.635128604159265,""
"218","S9","S15",0.665104720609687,0.7809941795038,""
"219","S9","S16",0.427973066622214,0.588779514731744,""
"220","S9","S17",0.448186578118165,0.607599879956113,""
"221","S9","S18",0.493581206527042,0.648348195014334,""
